Temporada, Esport, Categoria, Grup, Jornada, Data, Local, Visitant, Camp de joc, Hora
2019/2020, Handbol, Alevi Femeni, 1a Fase, 15, 07/03/20, CH CARDEDEU BLANC, CH PALAUTORDERA BLANC, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 15, 07/03/20, CH PALAUTORDERA VERD, LA SALLE M A , A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 15, 07/03/20, HC LAIETA ARG, PME-AEH LES FRANQUESES NEGRE, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 15, 07/03/20, LA SALLE M B , CH CARDEDEU VERMELL, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 15, 07/03/20, CH CANOVELLES, DESCANSA, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 16, 14/03/20, PME-AEH LES FRANQUESES NEGRE, DESCANSA, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 16, 14/03/20, LA SALLE M B , CH CANOVELLES, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 16, 14/03/20, CH CARDEDEU VERMELL, CH CARDEDEU BLANC, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 16, 14/03/20, CH PALAUTORDERA BLANC, CH PALAUTORDERA VERD, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 16, 14/03/20, LA SALLE M A , HC LAIETA ARG, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 17, 21/03/20, PME-AEH LES FRANQUESES NEGRE, CH CANOVELLES, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 17, 21/03/20, DESCANSA, LA SALLE M A , A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 17, 21/03/20, HC LAIETA ARG, CH PALAUTORDERA BLANC, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 17, 21/03/20, CH PALAUTORDERA VERD, CH CARDEDEU VERMELL, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 17, 21/03/20, CH CARDEDEU BLANC, LA SALLE M B , A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 18, 28/03/20, LA SALLE M A , PME-AEH LES FRANQUESES NEGRE, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 18, 28/03/20, CH PALAUTORDERA BLANC, DESCANSA, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 18, 28/03/20, CH CARDEDEU VERMELL, HC LAIETA ARG, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 18, 28/03/20, LA SALLE M B , CH PALAUTORDERA VERD, A DESIGNAR, 00:00
2019/2020, Handbol, Alevi Femeni, 1a Fase, 18, 28/03/20, CH CANOVELLES, CH CARDEDEU BLANC, A DESIGNAR, 00:00
